Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram
332, nan,nan,nan,220.0,52.0,nan,nan,9.933996e-05
333, nan,nan,nan,188.0,324.0,nan,nan,0.0013109217
334, 35.83765295427829,nan,nan,180.0,220.0,244.0,76.0,0.00032773043
335, 54.16234704572171,nan,nan,196.0,260.0,244.0,76.0,0.0007222091
336, 45.0,nan,nan,180.0,324.0,nan,nan,0.00015516687
337, 38.08877288097531,nan,nan,172.0,220.0,252.0,100.0,0.0007222091
338, 43.99491399474583,nan,nan,172.0,228.0,252.0,116.0,0.00030217748
339, 52.1250163489018,nan,116.0,164.0,228.0,252.0,116.0,0.00023479333
340, 61.07357416474639,nan,nan,196.0,260.0,252.0,116.0,0.00023479333
341, 69.77514056883193,nan,nan,252.0,132.0,nan,nan,0.00023479333
342, nan,nan,nan,180.0,332.0,236.0,132.0,0.0007845205
343, 61.50436138175502,nan,nan,172.0,228.0,252.0,156.0,0.00032773043
344, 86.26860300083955,nan,nan,164.0,236.0,252.0,156.0,0.00043972812
345, 83.45370921670597,18.43494882292201,164.0,156.0,236.0,252.0,164.0,0.0011572264
346, 72.03086025984298,nan,148.0,188.0,332.0,188.0,324.0,0.0007622754
347, 83.45370921670597,nan,164.0,156.0,236.0,244.0,164.0,0.00013796937
348, nan,nan,nan,156.0,236.0,228.0,156.0,0.00035272856
349, 85.30131948270056,nan,nan,148.0,236.0,236.0,164.0,0.0005607219
350, 86.24827092947402,nan,nan,148.0,236.0,236.0,164.0,0.0007001277
351, 86.24827092947402,nan,164.0,148.0,236.0,236.0,164.0,0.000301371
352, nan,nan,nan,188.0,332.0,204.0,148.0,0.00094129954
353, nan,nan,156.0,140.0,236.0,220.0,156.0,0.0012483335
354, nan,nan,nan,188.0,324.0,180.0,140.0,0.0011639668
355, 66.80140948635182,nan,nan,188.0,324.0,180.0,140.0,0.0010796008
356, nan,nan,nan,188.0,324.0,180.0,132.0,5.0259354e-05
